objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll011,Marikina - Kwentong Kanto.mp4,oX0G8-M7Dhs,,Marikina | Kwentong Kanto,News5Everywhere,2017-04-12,A video that discusses a brief historical and cultural background story of Marikina City.,History; Culture; Shoes,"Marikina City, Philippines",14.62252088,121.0944814,News5,,Video,video/mp4,fil,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll012,History of Marikina Shoe Industry.mp4,xe026KEQpSE,,History of Marikina Shoe Industry,Marikina PIO,2013-01-28,A content video of Marikina PIO that overviews the history of shoe industry in Marikina City.,History; Culture; Shoes,"Marikina City, Philippines",14.62252088,121.0944814,Marikina PIO,,Video,video/mp4,fil,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll013,Biyahe ni Drew: Be in love with Marikina (Full episode).mp4,N17MNQJ7P1A,,Biyahe ni Drew: Be in love with Marikina (Full episode),GMA Public Affairs,2017-03-23,"Apart from being the 'Shoe Capital of the Philippines,' Marikina is also home to a variety of quality products. Let's join Drew as he explores this province-like city in the middle of the Metro and enjoy a foodventure that highlights our FIlipino favorites!",History; Culture; Shoes; Museums; Library; Books; Antiquities; Foods,"Marikina City, Philippines",14.62252088,121.0944814,GMA Public Affairs,,Video,video/mp4,fil; en,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll014,"The Shoe Industry of Marikina City, Philippines: A Developing-Country Cluster in Crisis.pdf",,,"The Shoe Industry of Marikina City, Philippines: A Developing-Country Cluster in Crisis",Allen Scott,2005,"This study describes the main features of the shoe industry in the Philippines, the core of which is located in Marikina City in the northeast of the Manila Metropolitan Area. Initial discussions delve with general remarks on industrial clusters and commodity chains with a detailed account of their internal structure and changing fortunes. The deeply-rooted failures of the cluster since the early 1990s are pinpointed. These can be directly related to the liberalization of the Filipino economy, and the concomitant increase in Chinese-made shoes on domestic markets. Various private and public responses to the crisis are described and evaluated. It is argued that as helpful as many of these responses may be, their overall impact is likely to remain limited. Series of possible policy options and their high risks of failure are emphasized. In conclusion, the study presents a developmental scenario based on cluster upgrading and intensified export activity.",Economics; Shoes,"Marikina City, Philippines",14.62252088,121.1046629,Kasarinlan Philippine Journal of Third World Studies; UP Diliman Journals Online,435-460-1-PB,Text,application/pdf,en,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll015,Abstract of the Dissertation of Sapatero in Marikina City: Enacting Economies in the Philippines' Footwear Capital.pdf,,,Abstract of the Dissertation of Sapatero in Marikina City: Enacting Economies in the Philippines' Footwear Capital,Ma. Concepcion Rapisora-Lagos,2018-04-23,"This study argues that Marikina city’s nostalgically popular trademark as the Philippines’
footwear capital has been made possible by sapatero in the past and present who have enacted a localised
economy.",Economics; Shoes,"Marikina City, Philippines",14.6467498,121.1046629,"Philippine Studies Department, University of the Philippines Diliman; Academia.edu",,Text,application/pdf,en,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll016,A Filipino sculptor carves chess pieces inspired by Jose Rizal’s novels.html,,,A Filipino sculptor carves chess pieces inspired by Jose Rizal’s novels,Bea Amarille,2019-09-10,"Rolando Magboo, a resident of Marikina City, sculpted chess pieces in the form of historical figures and characters from novels Noli Me Tangere and El Filibusterismo such as Jose Rizal as the king, Maria Clara as the queen, Padre Damaso as the bishop, Antonio Luna as the knight, guardia civil as the pawn, and Ilocos Sur’s Paoay church bell tower as the rook.",Arts; Sculptures,"Marikina City, Philippines",14.6467498,121.1046629,Nolisoli.ph,,Text,text/html,en,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll017,Marikina City.mp4,,192088107,Marikina City,Katrina Escote,2016-11-18,"A collection of images, assembled in a video, of significant places, events, and traditions in Marikina City, depicting its rich cultural heritage.",People; Culture; Places,"Marikina City, Philippines",14.6467498,121.1046629,Vimeo.com,,Video,video/mp4,fil,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll018,Jesis dela Peña Chapel.jpg,,,Jesus dela Peña Chapel,Ranger,2007-05-23,"In 1572, Our Lady of the Abandoned Parish was established. Next came the Jesuits in 1630, in a place now called Jesus dela Peña (Jesus of the Rocks). Here, the Jesuits established a mission and built a chapel still known today as Jesus dela Pena Chapel. Fray Pedro de Arce, apostolic ruler of the Archbishop of Manila at that time, approved transfer of ecclesiastical control and supervision to the Jesuits, and settled the place as a town.",Architecture; Church; Religion,"Marikina City, Philippines",14.6467498,121.1046629,Wikipilipinas.org; Web.archive.org,,Image;StillImage,image/jpg,en,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll019,Marikina Book Museum.html,,,Marikina Book Museum,Marky Ramone Go,2018,Mr. Buhain opened the museum in 2013 because he wanted to share his collections of books collected from his worldly travels. A life of endless journeying that took him to at least 215 countries in the world and all of the provinces of the Philippines. It has become a habit of his—an expensive yet fulfilling one—to score a rare book as one of his travel souvenirs.,Books; Museums,"81 Mayor Gil Fernando Ave., Marikina City",14.6288104,121.0996356,Nomadic Experiences Travel Blog,,Text,text/html,en,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll020,Ka-Angkan Festival.html,,,Ka-Angkan Festival,Marikina City Government Official Website,2020,"The Ka-Angkan Festival celebrates the value of kinship and the solidarity of the city's multi-clan makeup. The Ka-Angkan Festival, whose perennial theme is ""Ka-angkan ko, mabubuting tao,"" has a familiar fiesta flavor. Banners, banderitas, and the invigorating sounds of drums and bugles are standard fare, as well as the parade of clans. Members of each clan turn up in huge numbers, proudly proclaiming their ""bansag"" or special title, be it derived from their clannish occupation, distinct features, traits, or mannerisms. The Ka-Angkan Festival coincides with the celebration of Marikina's founding anniversary on April 16.",Festival; Families; Culture,"Marikina City, Philippines",14.6467498,121.1046629,"Arts and Culture Page, Marikina City Government Official Website",,Text,text/html,en,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll021,Rehiyon-Rehiyon.html,,,Rehiyon-Rehiyon,Marikina City Government Official Website,2020,Rehiyon-Rehiyon is a lively festival that pays tribute to the migrants who have chosen to stay in Marikina and contributed significantly to its progress. A carnival like atmosphere prevails in the air as the citizens of the city revels in street dancing and production numbers such as folk dances wearing magnificent costumes that also showcase the culture and heritage of Marikina. It also commemorates the local government’s celebration of Marikina’s cityhood anniversary on December 8.,Festival; Migrants; Culture,"Marikina City, Philippines",14.6467498,121.1046629,"Arts and Culture Page, Marikina City Government Official Website",,Text,text/html,en,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll022,Sapatos Festival.html,,,Sapatos Festival,Marikina City Government Official Website,2020,"Sapatos Festival is a three-month long festival that usually begins in September. It showcases the creativity, craftsmanship, style and quality of shoes, a product Marikina is known for. The festival features parades, cultural presentations, trade fairs featuring shoes made in the city, visits to the shoe museum, among other fun activities.

Among the highlights of the festival is the Tour de Takong, where participants are required to wear stilettos with at least three inches in height instead of the usual running shoes. Since the race started in 2011, it has attracted a multitude of participants from all over the country, and is one of the highly-anticipated events in the city.",Festival; Shoes; Culture,"Marikina City, Philippines",14.6467498,121.1046629,"Arts and Culture Page, Marikina City Government Official Website",,Text,text/html,en,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll023,Marikina Christmas Festival.html,,,Marikina Christmas Festival,Marikina City Government Official Website,2020,"Marikina Christmas Festival marks the start of the celebration of the Christmas season in the city held at the entire stretch of the Marikina River. It is a surefire crowd pleaser as it has always attracted a multitude of crowd every year coming from different places. Among the main attractions include the nightly entertainment shows at the well-lighted Marikina River that’s also teeming with stalls selling shoes, bags, clothes, toys, home accessories, Christmas decors and a lot more at affordable prices. Some festival goers simply enjoy strolling along the riverbank, enjoying the cool air and dazzling lights.",Festival; Christmas; River; Ornaments; Culture,"Marikina City, Philippines",14.6467498,121.1046629,"Arts and Culture Page, Marikina City Government Official Website",,Text,text/html,en,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
